N,P,K,temperature,humidity,ph,rainfall,season,location,label
63.65,65.36,37.79,24.3,70.37,6.77,40.02,Zaid,Karnataka,sunflower
92.99,47.32,6.25,22.39,56.09,6.75,51.25,Kharif,Punjab,maize
20.13,18.21,5.4,34.09,54.46,5.81,112.27,Annual,Uttar Pradesh,mango
76.14,54.99,35.87,27.05,73.31,5.63,32.71,Zaid,Karnataka,cucumber
33.83,18.24,20.64,29.07,53.26,6.45,70.78,Kharif,Maharashtra,sesame
15.82,65.84,23.38,29.59,93.79,6.48,48.67,Kharif,Madhya Pradesh,mungbean
27.28,10.93,14.23,23.53,91.85,6.58,108.27,Annual,Maharashtra,orange
83.44,47.86,64.52,25.34,56.53,6.5,55.71,Rabi,Maharashtra,onion
106.8,52.02,58.48,22.19,57.92,6.21,39.98,Rabi,Uttar Pradesh,cabbage
112.38,35.5,55.08,20.0,88.78,4.9,232.36,Annual,Kerala,tea
26.79,42.34,37.52,24.27,66.81,5.95,104.07,Kharif,Punjab,soybean
8.92,24.27,36.11,26.24,60.09,6.62,135.67,Annual,Madhya Pradesh,guava
10.33,18.15,0.0,20.66,91.31,6.38,117.98,Annual,Madhya Pradesh,orange
17.0,49.0,47.94,14.57,45.6,6.58,56.03,Rabi,Uttar Pradesh,peas
64.09,66.12,101.35,27.19,75.94,6.6,191.24,Kharif,Karnataka,ginger
85.07,59.12,58.49,23.81,68.93,5.6,43.32,Kharif,Karnataka,tomato
78.31,49.3,31.48,27.0,87.43,6.35,218.55,Kharif,Andhra Pradesh,rice
31.62,147.66,203.13,25.51,86.54,5.56,107.47,Annual,Maharashtra,grapes
94.4,91.34,55.78,25.96,85.11,5.98,109.09,Annual,Karnataka,banana
114.01,45.77,59.5,26.76,72.5,6.15,84.53,Kharif,West Bengal,brinjal
71.34,41.81,42.17,24.39,79.11,6.3,209.84,Kharif,Punjab,rice
124.45,38.88,131.06,26.01,73.61,6.28,127.17,Annual,Uttar Pradesh,sugarcane
13.64,60.61,7.82,31.75,91.6,7.13,39.68,Kharif,Maharashtra,mungbean
10.55,104.93,210.0,25.85,68.93,5.77,83.21,Annual,Karnataka,grapes
22.2,150.0,186.96,18.65,93.46,6.05,118.76,Rabi,Kerala,apple
9.89,47.14,18.81,29.65,55.0,6.9,28.31,Kharif,Karnataka,mothbeans
95.09,75.85,56.29,18.16,62.24,6.32,15.0,Kharif,Andhra Pradesh,tomato
76.96,43.76,8.12,28.76,56.92,5.82,84.44,Kharif,Karnataka,maize
94.88,19.46,48.88,27.57,90.78,6.47,31.42,Zaid,Andhra Pradesh,muskmelon
19.97,54.49,38.48,20.9,62.16,6.99,54.06,Rabi,Madhya Pradesh,peas
19.26,59.82,12.35,35.24,46.11,6.86,191.81,Kharif,Madhya Pradesh,pigeonpeas
75.46,47.12,40.24,27.74,74.85,6.64,153.03,Kharif,Madhya Pradesh,jute
61.51,31.52,28.09,20.09,54.27,5.87,88.7,Kharif,Kerala,fingermillet
73.02,43.72,49.02,17.57,50.73,6.5,36.39,Rabi,Madhya Pradesh,mustard
43.75,42.77,68.66,25.41,27.95,6.69,68.41,Rabi,Maharashtra,chickpea
10.59,18.51,43.52,29.3,94.83,6.76,159.3,Annual,Tamil Nadu,coconut
86.04,74.68,66.91,23.58,83.6,5.92,111.12,Annual,Maharashtra,banana
22.42,74.37,9.83,13.77,31.05,5.98,96.62,Kharif,Uttar Pradesh,kidneybeans
94.25,58.9,69.52,23.85,86.91,6.11,80.6,Annual,Maharashtra,banana
28.74,83.23,26.53,17.36,68.96,7.15,32.77,Rabi,West Bengal,lentil
21.62,30.3,75.7,20.5,86.15,5.89,238.13,Annual,Kerala,cardamom
31.33,35.32,44.83,16.03,50.57,6.61,66.05,Rabi,Madhya Pradesh,peas
30.41,74.47,34.22,17.46,52.51,7.27,48.69,Rabi,Uttar Pradesh,peas
142.94,76.45,114.33,21.44,58.8,5.47,61.26,Rabi,Kerala,potato
48.78,54.05,60.63,33.18,88.81,7.09,163.22,Annual,Telangana,papaya
7.79,69.59,12.04,30.63,50.98,5.99,121.65,Kharif,Madhya Pradesh,pigeonpeas
76.55,54.56,68.09,18.49,66.68,6.31,28.83,Rabi,Punjab,garlic
87.59,35.31,34.28,23.08,60.21,6.23,38.34,Rabi,Uttar Pradesh,spinach
61.45,41.37,96.36,25.93,77.68,6.33,233.1,Kharif,Kerala,ginger
33.03,19.63,49.24,31.06,100.0,6.6,161.5,Annual,Punjab,blackpepper
23.08,44.9,35.31,27.24,64.68,6.17,34.58,Kharif,Karnataka,mothbeans
10.3,16.69,18.59,20.47,86.74,6.29,163.47,Annual,Maharashtra,pomegranate
25.51,24.3,16.51,26.41,93.17,6.9,142.48,Annual,Maharashtra,orange
72.77,17.33,70.7,25.17,97.11,4.41,234.57,Annual,Kerala,tea
36.26,24.47,59.33,23.94,77.55,5.49,219.96,Annual,Kerala,blackpepper
63.04,58.09,108.34,27.4,78.41,6.34,163.61,Kharif,Kerala,ginger
122.44,44.64,20.55,25.72,80.5,6.12,43.63,Kharif,Punjab,cotton
44.61,36.29,32.04,20.1,45.67,7.01,29.56,Rabi,Andhra Pradesh,coriander
19.61,60.86,16.78,19.29,61.62,6.69,29.85,Rabi,Madhya Pradesh,lentil
68.88,43.06,25.52,29.3,59.37,6.46,52.67,Kharif,Maharashtra,sorghum
30.31,54.7,17.79,30.27,53.78,6.18,60.09,Kharif,Maharashtra,mothbeans
150.0,56.98,124.93,27.53,81.38,5.7,157.57,Annual,Maharashtra,sugarcane
34.98,52.89,48.7,25.34,84.03,6.27,57.77,Kharif,Madhya Pradesh,soybean
97.26,56.09,70.32,24.39,61.97,5.96,58.67,Kharif,West Bengal,brinjal
14.74,16.07,42.56,22.37,94.23,7.1,111.64,Annual,Maharashtra,pomegranate
8.35,62.46,10.33,17.19,75.0,6.59,55.77,Rabi,West Bengal,lentil
84.48,54.36,46.97,25.38,78.96,6.61,163.49,Kharif,West Bengal,jute
19.24,44.6,24.14,26.77,85.18,7.08,51.21,Kharif,Kerala,mungbean
73.73,46.14,84.13,14.12,53.72,6.15,29.95,Rabi,Madhya Pradesh,garlic
29.17,36.59,28.61,33.54,50.41,6.82,42.15,Kharif,Maharashtra,mothbeans
39.68,77.34,79.36,19.88,13.5,7.36,81.36,Rabi,Punjab,chickpea
96.72,63.12,54.18,22.1,61.5,6.44,43.11,Rabi,West Bengal,spinach
34.16,34.59,72.23,16.83,87.56,5.57,188.0,Annual,Karnataka,blackpepper
114.04,93.46,68.79,27.6,79.47,4.92,64.72,Annual,Tamil Nadu,banana
48.98,47.91,91.53,27.77,74.49,6.85,208.96,Kharif,Karnataka,ginger
64.76,36.98,35.92,29.44,56.69,6.46,72.16,Kharif,Punjab,sorghum
79.27,45.48,28.26,19.93,75.37,5.99,52.0,Zaid,Karnataka,cucumber
118.42,35.35,13.24,20.78,80.65,6.73,87.46,Kharif,Punjab,cotton
26.03,50.24,11.59,12.75,26.2,5.93,115.11,Kharif,Madhya Pradesh,kidneybeans
123.03,20.7,47.51,29.16,92.83,6.71,38.37,Zaid,Karnataka,watermelon
79.32,37.1,34.44,18.66,43.98,6.24,32.08,Rabi,Madhya Pradesh,mustard
27.01,52.94,53.71,25.61,64.64,6.19,96.78,Kharif,Madhya Pradesh,soybean
72.63,74.81,47.44,22.93,63.97,6.11,66.97,Kharif,Maharashtra,tomato
103.97,12.76,40.14,28.8,95.85,7.28,59.75,Zaid,Uttar Pradesh,watermelon
150.0,41.29,134.17,28.06,68.61,7.15,151.04,Annual,Andhra Pradesh,sugarcane
23.69,43.18,10.83,34.14,84.88,7.4,63.4,Kharif,Maharashtra,mungbean
24.14,34.43,22.85,27.05,75.05,7.05,125.59,Annual,Uttar Pradesh,guava
68.6,54.11,57.0,20.84,58.74,5.99,31.26,Rabi,Uttar Pradesh,garlic
45.95,62.08,95.87,22.54,10.0,7.38,107.96,Rabi,Andhra Pradesh,chickpea
117.96,24.82,49.15,27.5,99.13,6.28,32.48,Zaid,West Bengal,muskmelon
32.35,49.76,45.77,20.42,53.26,6.96,63.81,Rabi,Madhya Pradesh,peas
32.65,129.12,194.18,23.56,82.05,5.79,77.59,Annual,Kerala,grapes
52.47,34.61,16.2,33.4,65.68,6.62,80.72,Kharif,Madhya Pradesh,sorghum
24.69,45.06,17.18,14.75,46.97,6.72,41.39,Rabi,Uttar Pradesh,fenugreek
20.25,38.49,19.88,32.24,69.48,6.57,65.72,Kharif,Karnataka,groundnut
44.82,81.21,24.54,21.58,50.12,6.62,70.48,Zaid,Karnataka,sunflower
94.41,76.17,53.92,31.54,80.72,6.36,120.54,Annual,Maharashtra,banana
60.76,48.24,88.74,24.96,71.17,6.15,185.62,Kharif,Kerala,ginger
49.34,38.24,49.19,33.27,94.07,6.09,137.2,Annual,Tamil Nadu,papaya
112.04,51.0,4.75,21.22,70.47,7.41,76.8,Kharif,Telangana,cotton
6.83,48.51,19.55,29.55,49.08,6.4,38.44,Kharif,Uttar Pradesh,mothbeans
44.96,93.92,15.29,30.19,61.5,7.58,69.08,Kharif,Maharashtra,blackgram
58.32,62.61,52.26,27.56,59.46,6.42,83.25,Kharif,Andhra Pradesh,okra
125.81,79.79,68.97,24.8,80.09,6.22,121.55,Annual,Maharashtra,banana
46.71,32.38,52.44,29.47,86.04,5.23,223.62,Annual,Kerala,blackpepper
57.69,49.19,91.18,15.11,62.82,5.99,44.31,Rabi,Punjab,carrot
40.42,23.22,59.64,20.92,82.59,5.35,178.08,Annual,Karnataka,blackpepper
120.83,86.88,111.85,14.46,80.05,5.71,54.57,Rabi,Punjab,potato
30.62,134.04,195.61,19.32,82.51,5.91,83.53,Annual,Karnataka,grapes
117.06,77.65,59.58,19.96,61.73,6.08,42.99,Rabi,Uttar Pradesh,cabbage
32.93,22.7,77.84,21.11,86.25,5.48,223.23,Annual,Karnataka,cardamom
50.59,49.38,77.52,24.1,14.49,7.01,98.27,Rabi,Madhya Pradesh,chickpea
69.51,39.52,97.82,20.24,86.93,6.04,147.21,Kharif,Telangana,turmeric
123.7,54.01,73.2,17.81,74.3,6.75,50.09,Rabi,Madhya Pradesh,cauliflower
10.94,70.66,17.09,18.7,71.92,7.39,65.98,Rabi,Madhya Pradesh,lentil
44.21,25.23,35.28,28.78,59.33,6.19,105.04,Kharif,Maharashtra,fingermillet
30.24,24.24,21.3,28.37,58.81,5.64,78.0,Kharif,Karnataka,fingermillet
90.86,45.89,19.64,24.24,73.16,7.12,101.2,Kharif,Telangana,cotton
73.86,44.31,77.59,19.58,46.33,6.95,25.29,Rabi,Telangana,carrot
103.29,54.94,41.67,18.41,49.48,6.73,61.59,Rabi,Karnataka,wheat
134.25,62.91,50.49,13.69,66.98,6.33,49.35,Rabi,Tamil Nadu,cabbage
62.52,59.04,48.41,24.23,62.83,6.12,62.28,Rabi,Uttar Pradesh,spinach
14.17,4.03,16.37,17.47,84.88,5.96,75.23,Annual,Maharashtra,orange
51.71,32.69,21.98,18.04,58.72,6.81,46.99,Rabi,Karnataka,coriander
78.75,35.11,49.14,25.97,72.38,6.13,63.28,Kharif,Kerala,okra
60.0,46.9,34.01,27.07,51.22,6.1,63.95,Kharif,Karnataka,sorghum
18.27,64.2,13.02,19.99,62.62,6.76,43.59,Rabi,Uttar Pradesh,lentil
117.44,51.57,22.69,24.57,77.08,8.31,87.19,Kharif,Telangana,cotton
37.82,71.37,22.64,25.62,62.18,5.9,105.84,Kharif,Madhya Pradesh,soybean
92.67,54.62,76.06,15.73,63.22,5.67,65.62,Rabi,Madhya Pradesh,onion
105.84,23.14,28.41,26.41,52.62,6.92,191.14,Annual,Karnataka,coffee
38.41,47.54,24.55,26.57,54.41,6.59,74.25,Kharif,Andhra Pradesh,blackgram
30.89,50.02,49.19,27.28,52.76,5.97,76.94,Kharif,Maharashtra,groundnut
131.99,100.43,43.85,24.86,80.5,5.83,134.99,Annual,Uttar Pradesh,banana
42.67,24.95,26.26,26.83,44.65,6.81,46.87,Kharif,Tamil Nadu,pearlmillet
95.92,9.7,45.67,19.6,82.05,5.91,28.43,Zaid,Uttar Pradesh,watermelon
29.62,28.34,11.1,21.8,55.6,6.43,54.07,Kharif,Andhra Pradesh,sesame
63.31,57.99,48.54,25.88,55.39,7.0,50.13,Zaid,Karnataka,sunflower
114.56,72.92,42.47,17.29,58.31,6.75,72.63,Rabi,Punjab,wheat
26.3,56.62,11.73,12.72,11.61,5.35,81.44,Kharif,Uttar Pradesh,kidneybeans
26.48,51.03,52.64,16.26,49.73,5.69,68.99,Rabi,Punjab,peas
78.82,49.18,47.53,29.4,81.15,6.01,68.69,Kharif,Karnataka,tomato
62.68,46.87,41.36,25.83,85.1,7.44,175.94,Kharif,West Bengal,jute
87.48,45.19,42.01,20.75,61.25,5.9,50.3,Rabi,Uttar Pradesh,spinach
78.42,36.05,31.74,23.54,81.4,6.15,129.63,Kharif,Madhya Pradesh,maize
87.93,52.17,15.87,28.99,58.46,6.22,70.59,Kharif,Madhya Pradesh,sorghum
88.51,62.83,25.51,21.51,48.46,7.28,29.25,Rabi,West Bengal,spinach
59.05,34.82,67.61,15.68,65.93,6.6,56.0,Rabi,Madhya Pradesh,garlic
32.56,31.99,15.07,29.96,44.61,6.81,59.06,Kharif,Tamil Nadu,sesame
18.12,13.87,35.75,25.13,92.41,5.4,159.94,Annual,Andhra Pradesh,coconut
17.46,31.31,23.0,23.19,69.8,6.08,81.3,Annual,Madhya Pradesh,guava
27.04,38.35,15.8,30.25,49.84,6.25,54.31,Kharif,Punjab,sesame
72.69,75.62,42.66,30.5,54.39,7.62,53.05,Zaid,Maharashtra,sunflower
59.99,46.51,60.92,34.81,83.52,6.14,153.94,Annual,Karnataka,papaya
57.82,76.04,53.72,36.13,90.22,6.58,178.7,Annual,Karnataka,papaya
59.74,60.29,34.6,20.54,52.7,7.32,53.64,Rabi,Karnataka,mustard
27.53,28.45,46.23,16.51,90.59,5.88,233.72,Annual,Karnataka,cardamom
26.63,59.31,34.71,14.78,58.27,6.36,53.17,Rabi,Punjab,peas
17.41,51.25,33.12,33.06,78.18,6.53,26.51,Kharif,Maharashtra,mungbean
35.38,64.69,75.17,16.22,15.59,8.53,102.84,Rabi,Uttar Pradesh,chickpea
27.72,60.25,38.09,31.62,69.81,6.13,63.18,Kharif,Karnataka,groundnut
25.44,113.6,191.42,15.41,91.43,5.03,138.65,Rabi,Andhra Pradesh,apple
41.14,24.72,26.72,27.25,40.27,7.32,41.5,Kharif,Tamil Nadu,sesame
26.02,46.63,18.24,32.59,48.22,7.0,56.21,Kharif,Telangana,mothbeans
47.91,24.88,19.84,19.37,59.95,7.04,47.31,Rabi,Karnataka,coriander
61.68,34.99,31.66,22.55,77.53,7.4,174.1,Kharif,Punjab,jute
46.48,55.02,58.68,24.08,23.96,7.82,65.6,Rabi,Madhya Pradesh,chickpea
128.43,73.47,68.94,20.51,64.96,6.65,51.62,Rabi,Maharashtra,cauliflower
33.15,51.09,50.66,29.27,54.45,5.53,81.15,Kharif,Karnataka,groundnut
95.04,45.77,73.34,24.25,59.17,6.08,42.27,Kharif,Telangana,tomato
47.35,26.43,29.96,27.53,49.37,6.69,60.04,Kharif,Uttar Pradesh,pearlmillet
75.39,66.89,61.24,16.12,64.28,6.33,47.35,Rabi,Karnataka,garlic
44.79,78.72,41.62,27.6,61.67,7.39,59.77,Kharif,Tamil Nadu,blackgram
5.7,17.95,30.49,17.84,91.04,6.13,80.66,Annual,Karnataka,pomegranate
17.48,150.0,193.5,23.24,79.21,5.89,71.17,Annual,Maharashtra,grapes
65.57,71.53,63.82,28.65,87.8,6.84,162.88,Annual,Tamil Nadu,papaya
59.57,53.94,102.11,26.83,81.96,6.34,153.01,Kharif,West Bengal,turmeric
28.68,40.01,21.55,25.8,70.14,6.38,107.68,Kharif,Maharashtra,soybean
38.96,51.06,26.65,22.2,35.22,6.55,50.29,Rabi,Uttar Pradesh,fenugreek
64.54,40.7,10.59,20.89,57.96,5.57,58.7,Kharif,Andhra Pradesh,maize
34.13,20.56,63.93,33.31,84.5,5.51,181.77,Annual,Karnataka,blackpepper
19.5,58.61,12.64,30.91,34.28,5.67,153.08,Kharif,Karnataka,pigeonpeas
23.74,58.85,6.74,14.39,61.66,6.24,39.78,Rabi,Tamil Nadu,lentil
17.05,51.96,18.85,25.6,59.0,6.77,57.33,Kharif,Maharashtra,mothbeans
56.29,55.02,51.88,21.94,72.7,6.24,267.23,Kharif,Andhra Pradesh,rice
6.95,81.93,13.81,31.1,41.79,5.49,186.39,Kharif,Madhya Pradesh,pigeonpeas
51.4,31.41,34.49,28.67,37.09,6.8,40.92,Kharif,West Bengal,pearlmillet
75.25,57.96,37.71,25.04,76.09,6.59,228.95,Kharif,West Bengal,jute
114.91,49.47,47.75,18.0,54.75,6.0,46.99,Rabi,West Bengal,cabbage
41.02,46.55,25.16,28.22,68.72,7.22,72.71,Kharif,Maharashtra,blackgram
48.07,45.53,42.34,34.75,92.55,6.48,125.39,Annual,Karnataka,papaya
67.03,62.76,98.34,27.18,83.18,5.85,102.6,Kharif,Punjab,turmeric
45.79,72.74,10.16,34.1,58.58,7.97,100.33,Kharif,Maharashtra,blackgram
86.75,37.73,7.08,27.95,65.92,5.74,77.98,Kharif,Madhya Pradesh,maize
15.41,9.13,3.24,20.84,89.22,6.98,85.03,Annual,Madhya Pradesh,orange
99.65,38.44,40.24,23.96,55.07,6.62,144.01,Annual,West Bengal,coffee
25.78,81.95,21.28,28.87,56.72,7.48,69.96,Kharif,Maharashtra,blackgram
10.4,27.28,11.65,16.58,17.37,6.56,92.73,Kharif,Andhra Pradesh,kidneybeans
78.58,55.13,54.95,16.77,73.31,5.42,48.15,Rabi,West Bengal,onion
17.62,19.92,37.14,31.33,57.87,5.4,137.66,Annual,Maharashtra,mango
114.75,22.19,46.19,26.6,84.21,6.06,33.64,Zaid,Telangana,watermelon
80.88,39.7,50.58,27.2,76.07,6.97,166.09,Kharif,Karnataka,jute
26.09,21.7,32.46,34.01,52.66,5.44,89.42,Annual,Kerala,mango
119.92,81.89,43.71,27.32,83.34,5.76,127.55,Annual,Karnataka,banana
22.23,61.72,43.77,26.79,78.55,5.77,63.12,Kharif,Karnataka,groundnut
66.02,54.49,45.31,18.68,61.24,5.26,34.99,Rabi,Uttar Pradesh,onion
59.98,70.7,110.81,23.32,77.49,5.64,182.36,Kharif,Tamil Nadu,turmeric
102.39,75.49,44.57,24.64,82.36,5.86,115.88,Annual,Karnataka,banana
29.66,70.96,32.64,13.81,52.69,5.61,58.96,Rabi,Andhra Pradesh,peas
86.45,57.42,74.76,32.39,63.31,6.37,75.89,Kharif,Karnataka,brinjal
68.21,30.06,17.62,29.53,34.83,7.95,66.61,Kharif,Andhra Pradesh,pearlmillet
31.08,37.36,56.38,25.8,84.64,5.49,292.75,Annual,Kerala,cardamom
108.98,25.76,36.59,26.31,74.42,6.43,71.81,Zaid,Karnataka,watermelon
4.37,64.36,15.7,23.09,89.49,6.34,66.35,Kharif,Andhra Pradesh,mungbean
40.76,55.55,114.61,29.18,77.87,5.27,166.56,Kharif,Kerala,ginger
19.09,15.07,13.65,27.33,90.44,5.6,105.96,Annual,Maharashtra,orange
93.42,53.7,39.69,25.41,81.39,6.36,165.37,Kharif,West Bengal,jute
15.94,22.26,28.17,29.34,62.2,5.86,95.29,Annual,Uttar Pradesh,mango
22.99,142.49,192.41,22.83,77.63,5.82,70.73,Annual,Karnataka,grapes
115.82,93.52,118.63,17.49,68.26,5.45,39.56,Rabi,Uttar Pradesh,potato
102.45,20.11,54.2,24.1,93.21,6.76,36.4,Zaid,Punjab,muskmelon
26.26,24.24,22.86,23.0,88.52,6.0,213.5,Annual,Telangana,coconut
84.94,47.79,42.87,26.42,53.09,6.15,57.73,Zaid,Maharashtra,cucumber
70.98,40.92,44.66,19.9,60.71,6.12,37.49,Rabi,Madhya Pradesh,onion
96.7,58.4,63.86,23.75,59.99,6.17,63.22,Kharif,Karnataka,brinjal
34.29,29.23,24.17,23.01,53.01,6.05,57.92,Rabi,Madhya Pradesh,coriander
45.93,77.65,22.6,23.5,47.03,6.51,201.29,Kharif,Kerala,pigeonpeas
90.05,31.91,39.67,20.94,63.58,5.9,41.14,Rabi,Uttar Pradesh,spinach
46.47,32.69,22.12,22.1,73.55,6.02,89.82,Kharif,Andhra Pradesh,fingermillet
16.31,47.42,51.21,26.95,63.78,6.36,112.22,Kharif,Madhya Pradesh,soybean
130.62,65.8,27.27,21.4,46.52,6.46,67.97,Rabi,Uttar Pradesh,wheat
19.75,47.68,12.3,17.55,20.01,5.52,101.46,Kharif,Madhya Pradesh,kidneybeans
119.66,96.97,58.68,21.91,73.32,5.97,104.14,Annual,Tamil Nadu,banana
19.93,150.0,200.43,21.86,93.67,5.66,99.1,Rabi,Telangana,apple
77.42,60.73,76.82,15.58,66.6,6.1,53.82,Rabi,Punjab,carrot
69.65,51.83,81.75,17.62,65.47,5.97,46.86,Rabi,Karnataka,carrot
106.88,79.85,50.45,27.75,85.99,6.29,86.26,Annual,Karnataka,banana
63.31,32.28,40.52,29.3,55.59,7.03,23.03,Kharif,Maharashtra,pearlmillet
7.79,33.98,13.75,21.58,92.04,6.88,49.55,Kharif,Andhra Pradesh,mungbean
17.3,148.85,210.0,24.01,89.3,5.39,126.91,Rabi,Telangana,apple
52.08,37.19,32.4,22.26,63.81,6.67,137.67,Kharif,Andhra Pradesh,maize
23.41,59.62,21.16,17.75,15.79,5.84,92.58,Kharif,Uttar Pradesh,kidneybeans
45.2,55.38,43.54,27.2,91.9,6.65,171.95,Annual,Telangana,papaya
84.57,48.67,46.35,27.28,79.25,6.21,82.86,Kharif,Andhra Pradesh,okra
32.17,25.73,66.41,26.27,83.79,5.31,224.34,Annual,Kerala,blackpepper
118.62,65.07,79.8,17.97,76.64,6.56,71.97,Rabi,Uttar Pradesh,cauliflower
28.13,136.07,172.14,24.43,86.25,5.91,109.68,Rabi,Karnataka,apple
89.89,17.73,32.44,26.24,47.67,5.49,30.25,Rabi,Madhya Pradesh,mustard
123.93,68.0,46.22,11.28,53.99,6.01,100.72,Rabi,Karnataka,wheat
16.25,150.0,200.87,19.39,87.5,5.81,134.27,Rabi,Andhra Pradesh,apple
55.31,38.35,33.17,36.03,33.39,6.66,41.55,Kharif,Uttar Pradesh,pearlmillet
16.83,35.8,32.45,33.88,54.13,5.39,62.02,Annual,Andhra Pradesh,mango
88.44,22.26,50.75,30.54,78.06,6.19,22.84,Zaid,Andhra Pradesh,watermelon
109.22,48.17,10.83,22.19,82.67,6.89,70.46,Kharif,Karnataka,cotton
77.37,30.83,23.11,25.08,69.95,6.31,77.48,Kharif,Karnataka,sorghum
76.32,57.04,42.97,23.9,74.06,6.73,54.99,Zaid,Maharashtra,cucumber
49.52,33.43,40.24,33.64,85.06,6.48,204.35,Annual,Kerala,blackpepper
45.79,49.08,34.51,31.72,40.82,6.37,43.96,Kharif,Maharashtra,pearlmillet
125.38,74.91,61.17,23.32,63.52,6.06,61.88,Kharif,Karnataka,tomato
24.15,150.0,210.0,21.77,99.7,6.3,104.12,Rabi,Kerala,apple
101.85,56.64,26.27,18.34,68.63,6.08,59.83,Rabi,Uttar Pradesh,spinach
41.22,20.71,17.55,24.66,50.57,6.07,57.66,Rabi,Madhya Pradesh,coriander
71.34,51.28,66.25,17.19,52.76,6.35,33.48,Rabi,Madhya Pradesh,garlic
56.79,37.88,68.46,21.19,60.63,6.21,44.87,Rabi,Madhya Pradesh,onion
124.09,59.12,63.84,19.88,77.31,6.24,51.75,Rabi,Uttar Pradesh,cabbage
24.23,56.69,18.05,26.92,32.16,5.22,116.35,Kharif,Maharashtra,pigeonpeas
85.23,25.01,57.04,20.69,72.22,6.78,52.51,Rabi,Maharashtra,onion
113.66,104.09,98.06,16.34,56.68,4.76,28.99,Rabi,Uttar Pradesh,potato
108.82,34.59,51.5,27.0,48.33,7.62,181.37,Annual,Madhya Pradesh,coffee
58.11,43.69,26.64,24.43,64.8,5.98,68.83,Kharif,Maharashtra,sorghum
40.47,36.26,28.0,23.1,61.15,6.23,80.92,Kharif,Karnataka,fingermillet
51.83,42.97,50.07,34.11,97.85,6.8,124.58,Annual,Kerala,papaya
32.1,13.5,28.63,26.33,95.09,5.51,155.26,Annual,Andhra Pradesh,coconut
6.37,11.35,33.37,22.69,88.53,6.36,75.85,Annual,Maharashtra,pomegranate
24.57,52.26,22.19,30.99,58.19,7.68,57.83,Kharif,Maharashtra,mothbeans
18.92,26.59,40.92,31.32,51.07,4.87,77.0,Annual,West Bengal,mango
63.01,33.34,45.72,23.38,74.92,6.22,79.23,Kharif,Andhra Pradesh,okra
19.66,54.98,19.53,15.7,22.02,5.68,86.11,Kharif,Madhya Pradesh,kidneybeans
14.01,57.48,14.78,28.68,86.08,7.03,53.76,Kharif,Madhya Pradesh,mungbean
67.93,21.92,32.35,25.03,49.28,5.74,104.3,Kharif,Uttar Pradesh,maize
31.31,28.46,17.29,24.98,69.86,6.9,67.89,Kharif,Karnataka,sesame
87.27,52.18,27.36,30.09,65.87,6.55,77.32,Kharif,Madhya Pradesh,maize
24.69,143.11,210.0,20.97,80.14,5.83,61.51,Annual,Karnataka,grapes
14.99,128.07,199.04,26.11,88.58,5.52,116.73,Rabi,Madhya Pradesh,apple
84.93,51.39,44.33,33.2,58.06,6.36,77.53,Kharif,West Bengal,okra
44.37,19.05,32.99,28.62,38.79,6.92,51.95,Kharif,Uttar Pradesh,pearlmillet
90.53,62.54,39.07,25.39,83.83,7.47,264.05,Kharif,West Bengal,rice
79.67,37.53,60.26,17.3,59.9,6.03,40.91,Rabi,Uttar Pradesh,onion
0.0,37.02,33.35,26.37,55.79,5.78,102.62,Annual,Maharashtra,mango
113.0,65.1,58.18,24.45,82.02,6.31,54.6,Rabi,West Bengal,cauliflower
30.29,17.94,24.01,27.72,100.0,6.2,173.52,Annual,Uttar Pradesh,coconut
11.31,0.0,47.34,26.81,61.44,6.52,121.04,Annual,Telangana,guava
16.0,47.14,28.68,14.08,25.78,5.45,137.03,Kharif,Uttar Pradesh,kidneybeans
111.18,68.72,122.73,17.85,66.0,5.5,46.11,Rabi,Punjab,potato
62.45,34.3,27.1,20.09,78.51,6.29,106.75,Kharif,Tamil Nadu,fingermillet
122.25,60.06,55.97,22.46,56.7,6.62,43.48,Kharif,Andhra Pradesh,tomato
50.47,27.88,20.12,30.29,53.04,6.39,30.12,Kharif,Maharashtra,pearlmillet
42.77,48.79,76.26,17.02,22.22,7.89,96.13,Rabi,Maharashtra,chickpea
28.9,36.88,19.4,23.19,53.9,6.69,43.04,Kharif,Madhya Pradesh,sesame
13.14,0.0,22.52,28.67,93.96,5.69,176.39,Annual,Kerala,coconut
86.2,19.43,35.35,21.95,62.76,7.16,177.99,Annual,Kerala,coffee
15.23,88.13,17.22,27.53,43.13,6.63,146.85,Kharif,Madhya Pradesh,pigeonpeas
119.47,67.3,84.9,16.85,76.53,6.48,38.6,Rabi,West Bengal,cauliflower
93.83,38.71,29.87,29.33,42.75,6.55,74.76,Kharif,Madhya Pradesh,sorghum
111.41,73.8,47.09,25.4,47.45,5.65,59.44,Kharif,Karnataka,brinjal
67.03,15.69,35.55,28.25,53.22,6.82,70.81,Kharif,Madhya Pradesh,sorghum
46.5,54.22,95.83,31.16,81.91,5.94,144.26,Kharif,Andhra Pradesh,turmeric
18.57,9.02,42.35,20.94,92.97,6.93,114.18,Annual,Maharashtra,pomegranate
17.13,142.61,210.0,24.37,88.39,6.2,66.5,Annual,Madhya Pradesh,grapes
40.22,29.66,63.2,20.13,79.32,6.17,193.52,Annual,Kerala,blackpepper
106.88,54.0,44.96,26.5,59.75,5.99,73.35,Kharif,Karnataka,brinjal
